Cycle,TotalEnergy
0,-309.863
10,-250.463
20,-276.888
30,-266.705
40,-275.963
50,-286.343
60,-280.128
70,-286.2
80,-288.988
90,-300.878
100,-299.956
110,-303.117
120,-307.052
130,-323.478
140,-312.36
150,-318.273
160,-319.792
170,-308.859
180,-316.692
190,-317.261
200,-316.745
210,-309.549
220,-304.221
230,-321.301
240,-296.909
250,-324.022
260,-321.785
270,-311.376
280,-307.957
290,-309.199
300,-317.012
310,-305.181
320,-312.712
330,-315.21
340,-329.324
350,-321.849
360,-320.864
370,-302.365
380,-322.465
390,-329.645
400,-308.939
410,-307.363
420,-310.869
430,-315.431
440,-320.306
450,-321.074
460,-328.196
470,-330.333
480,-317.936
490,-313.588
500,-325.466
510,-320.619
520,-307.063
530,-317.328
540,-296.76
550,-309.517
560,-302.638
570,-312.572
580,-293.174
590,-304.974
600,-304.327
610,-330.468
620,-315.034
630,-325.513
640,-305.149
650,-310.837
660,-324.098
670,-311.052
680,-302.015
690,-319.562
700,-335.832
710,-320.368
720,-310.707
730,-327.621
740,-313.159
750,-328.421
760,-319.265
770,-309.178
780,-328.638
790,-318.87
800,-322.21
810,-304.31
820,-313.333
830,-307.513
840,-313.908
850,-302.142
860,-314.494
870,-298.726
880,-320.295
890,-320.822
900,-332.109
910,-318.716
920,-314.697
930,-316.565
940,-313.842
950,-318.016
960,-316.259
970,-315.558
980,-319.875
990,-317.393
1000,-309.063
1010,-311.472
1020,-324.197
1030,-319.269
1040,-314.596
1050,-302.005
1060,-317.128
1070,-315.833
1080,-318.394
1090,-318.508
1100,-306.596
1110,-306.659
1120,-331.974
1130,-329.031
1140,-324.626
1150,-299.916
1160,-298.273
1170,-312.958
1180,-313.553
1190,-329.846
1200,-338.984
1210,-320.508
1220,-331.609
1230,-319.349
1240,-317.006
1250,-324.334
1260,-320.881
1270,-313.739
1280,-325.287
1290,-327.587
1300,-317.702
1310,-321.26
1320,-323.917
1330,-331.188
1340,-327.117
1350,-312.976
1360,-318.256
1370,-319.052
1380,-311.245
1390,-322.148
1400,-327.235
1410,-324.689
1420,-336.015
1430,-317.947
1440,-321.573
1450,-321.723
1460,-323.086
1470,-304.707
1480,-319.432
1490,-299.354
1500,-319.962
1510,-327.366
1520,-315.366
1530,-317.398
1540,-326.445
1550,-315.802
1560,-319.74
1570,-321.106
1580,-317.094
1590,-308.931
1600,-311.079
1610,-305.941
1620,-323.453
1630,-316.195
1640,-323.535
1650,-328.689
1660,-323.818
1670,-326.871
1680,-321.967
1690,-329.877
1700,-312.148
1710,-308.011
1720,-298.255
1730,-312.662
1740,-316.256
1750,-304.723
1760,-316.622
1770,-336.023
1780,-322.12
1790,-331.807
1800,-318.758
1810,-315.368
1820,-292.501
1830,-315.971
1840,-322.34
